Country name (English),Subregion,Region
Mauritania,West Africa,Africa
Mauritius,East Africa,Africa
Mayotte,East Africa,Africa
Mexico,Central America,Latin America and the Caribbean
Moldova,East Europe,Europe
Monaco,West Europe,Europe
Mongolia,East Asia,Asia
Montenegro,South Europe,Europe
Montserrat,Caribbean,Latin America and the Caribbean
Morocco,North Africa,Africa
Mozambique,East Africa,Africa
Myanmar,Southeast Asia,Asia
Namibia,South Africa,Africa
Nauru,Micronesia,Oceania
Nepal,South Asia,Asia
Netherlands,West Europe,Europe
New Caledonia,Micronesia,Oceania
New Zealand,Australia and New Zealand,Oceania
Nicaragua,Central America,Latin America and the Caribbean
Niger,West Africa,Africa
Nigeria,West Africa,Africa
Niue,Polynesia,Oceania
Norfolk Island,Australia and New Zealand,Oceania
North Korea,East Asia,Asia
North Macedonia,South Europe ,Europe
Northern Cyprus ,East Europe,Europe
Northern Mariana Islands,Micronesia,Oceania
Norway,North Europe,Europe
Oman,West Asia,Asia
Pakistan,South Asia,Asia
Palau,Micronesia,Oceania
Palestine,West Asia,Asia
Panama,Central America,Latin America and the Caribbean
Papua New Guinea,Melanesia,Oceania
Paraguay,South America,Latin America and the Caribbean
Peru,South America,Latin America and the Caribbean
Philippines,Southeast Asia,Asia
Pitcairn Islands,Polynesia,Oceania
Poland,East Europe,Europe
Portugal,South Europe ,Europe
Puerto Rico,Caribbean,Latin America and the Caribbean
Qatar,West Asia,Asia
Republic of the Congo,Central Africa,Africa
Reunion,East Africa,Africa
Romania,East Europe,Europe
Russia,East Europe,Europe
Rwanda,East Africa,Africa
Saint Barthélemy,Caribbean,Latin America and the Caribbean
"Saint Helena, Ascension and Tristan da Cunha",West Africa,Africa
Saint Kitts and Nevis,Caribbean,Latin America and the Caribbean
Saint Lucia,Caribbean,Latin America and the Caribbean
Saint Martin (French part),Caribbean,Latin America and the Caribbean
Saint Pierre and Miquelon,North America,North America
Saint Vincent and the Grenadines,Caribbean,Latin America and the Caribbean
Samoa,Polynesia,Oceania
San Marino,South Europe,Europe
Sao Tome and Principe,Central Africa,Africa
Saudi Arabia,West Asia,Asia
Senegal,West Africa,Africa
Serbia,South Europe ,Europe
Seychelles,East Africa,Africa
Sierra Leone,West Africa,Africa
Singapore,Southeast Asia,Asia
Sint Maarten (Dutch part),Caribbean,Latin America and the Caribbean
Slovakia,East Europe,Europe
Slovenia,South Europe,Europe
Solomon Islands,Melanesia,Oceania
Somalia,East Africa,Africa
South Africa,South Africa,Africa
South Korea,East Asia,Asia
South Sudan,East Africa,Africa
Spain,South Europe,Europe
Sri Lanka,South Asia,Asia
Sudan,North Africa,Africa
Suriname,South America,Latin America and the Caribbean
Svalbard and Jan Mayen,North Europe,Europe
Sweden,North Europe,Europe
Switzerland,North Europe,Europe
Syria,West Asia,Asia
Taiwan,East Asia,Asia
Tajikistan,Central Asia,Asia
Tanzania,East Africa,Africa
Thailand,Southeast Asia,Asia
Timor-Leste,Southeast Asia,Asia
Togo,West Africa,Africa
Tokelau,Polynesia,Oceania
Tonga,Polynesia,Oceania
Trinidad and Tobago,Caribbean,Latin America and the Caribbean
Tunisia,North Africa,Africa
Turkey,East Europe,Europe
Turkmenistan,Central Asia,Asia
Turks and Caicos Islands,Caribbean,Latin America and the Caribbean
Tuvalu,Polynesia,Oceania
Uganda,East Africa,Africa
Ukraine,East Europe,Europe
United Arab Emirates,West Asia,Asia
United Kingdom,North Europe,Europe
USA,North America,North America
United States,North America,North America
United States Virgin Islands,Caribbean,Latin America and the Caribbean
Uruguay,South America,Latin America and the Caribbean
Uzbekistan,Central Asia,Asia
Vanuatu,Melanesia,Oceania
Vatican City,South Europe,Europe
Venezuela,South America,Latin America and the Caribbean
Vietnam,Southeast Asia,Asia
Wallis and Futuna,Polynesia,Oceania
Western Sahara,North Africa,Africa
Yemen,West Asia,Asia
Zambia,East Africa,Africa
Zimbabwe,East Africa,Africa
